Country,Year,ImportValue,TimelinessScore,RiskPremium,t_value,RAIV
Cambodia,2023,128077.318,2.7,0.075,1,321682.5661395349
Cambodia,2024,186616.737,2.7,0.075,2,436010.98098431586
Cameroon,2022,7.63,2.1,0.075,0,16.023
Cameroon,2023,25.396,2.1,0.075,1,49.610790697674425
Cameroon,2024,120.403,2.1,0.075,2,218.79614926987563
Canada,2022,1240402.472,4.1,0.05,0,5085650.135199999
Canada,2023,1237889.992,4.1,0.05,1,4833665.683047619
Canada,2024,1262002.939,4.1,0.05,2,4693162.857052154
Chile,2022,250.052,3.2,0.06,0,800.1664000000001
Chile,2023,172.534,3.2,0.06,1,520.857358490566
Chile,2024,897.706,3.2,0.06,2,2556.6564613741543
China,2022,5769512.545,3.7,0.06,0,21347196.416500002
China,2023,4537571.096,3.7,0.06,1,15838691.561509432
China,2024,4789715.131,3.7,0.06,2,15772468.836507654
Colombia,2022,13110.45,3.2,0.06,0,41953.44
Colombia,2023,25808.646,3.2,0.06,1,77912.89358490567
Colombia,2024,47068.221,3.2,0.06,2,134049.75720897116
Costa Rica,2022,63364.685000000005,3.2,0.06,0,202766.99200000003
Costa Rica,2023,70694.61,3.2,0.06,1,213417.69056603772
Costa Rica,2024,75323.738,3.2,0.06,2,214521.14773940903
Croatia,2022,2022.011,3.2,0.06,0,6470.4352
Croatia,2023,471.991,3.2,0.06,1,1424.8784905660377
Croatia,2024,1362.9569999999999,3.2,0.06,2,3881.686009255962
Cuba,2024,5.731,2.6,0.075,2,12.8939751216874
Cyprus,2022,1.14,3.5,0.06,0,3.9899999999999998
Cyprus,2023,31.564,3.5,0.06,1,104.22075471698113
Cyprus,2024,547.648,3.5,0.06,2,1705.9166963332145
Czech Republic,2022,64739.259,3.7,0.06,0,239535.25830000002
Czech Republic,2023,54219.113999999994,3.7,0.06,1,189255.39792452828
Czech Republic,2024,56100.807,3.7,0.06,2,184739.218494126
Democratic Republic of the Congo,2024,74.169,2.8,0.075,2,179.7063926446728
Denmark,2022,49533.666,4.1,0.05,0,203088.03059999997
Denmark,2023,45189.855,4.1,0.05,1,176455.62428571426
Denmark,2024,58990.823,4.1,0.05,2,219376.3032199546
Djibouti,2023,0.542,3.6,0.06,1,1.8407547169811322
Djibouti,2024,1.429,3.6,0.06,2,4.578497686009255
Dominican Republic,2022,83503.15000000001,3.1,0.06,0,258859.76500000004
